Name,Description,Latitude,Longitude,URL,Thumb
Arizona Diamondbacks,"First season: 1998; Average Attendance: 26,350; Playoff Appearances: 6; World Series Titles: 1",33.446194,-112.066672,https://www.youtube.com/embed/haVLRgXQQq8#isVideo,https://cdn.vox-cdn.com/thumbor/0eOV94g5MSAYfsJYPxLfjrDKovE=/0x0:4842x3228/1200x800/filters:focal(2093x2027:2867x2801)/cdn.vox-cdn.com/uploads/chorus_image/image/56790921/829424334.0.jpg
Atlanta Braves,"First season: 1871; Average Attendance: 30,929; Playoff Appearances: 23; World Series Titles: 3",33.890407,-84.468125,https://www.youtube.com/embed/Tp6Oz1PE_KQ#isVideo,https://atlallday.com/wp-content/uploads/usat-images/2017/05/10017771-mlb-san-diego-padres-at-atlanta-braves.jpeg
Baltimore Orioles,"First season: 1954; Average Attendance: 25,042; Playoff Appearances: 14; World Series Titles: 3",39.283996,-76.621486,https://www.youtube.com/embed/2WV2GIfLack#isVideo,https://stadiumjourney.com/wp-content/uploads/2016/07/BaltimoreOrioles.GregGoodman.jpg
Boston Red Sox,"First season: 1901; Average Attendance: 36,021; Playoff Appearances: 23; World Series Titles: 8",42.346534,-71.097163,https://www.youtube.com/embed/13zAxH_Ao2E#isVideo,https://s-media-cache-ak0.pinimg.com/originals/44/10/52/4410529e65cd13021f4b90f698d87a31.jpg
Chicago Cubs,"First season: 1876; Average Attendance: 39,501; Playoff Appearances: 19; World Series Titles: 3",41.948025,-87.655665,https://www.youtube.com/embed/1E7DOJr-ZbU#isVideo,https://media.nbcchicago.com/images/653*367/Wrigley+Cubs+22.jpg
Chicago White Sox,"First season: 1900; Average Attendance: 20,117; Playoff Appearances: 9; World Series Titles: 3",41.829935,-87.633606,https://www.youtube.com/embed/D8X1JIavqms#isVideo,https://i0.wp.com/www.letmebfrankblog.com/wp-content/uploads/2016/10/team.jpeg?resize=555%2C414&ssl=1
Cincinnati Reds,"First season: 1881; Average Attendance: 22,678; Playoff Appearances: 15; World Series Titles: 5",39.097204,-84.506562,https://www.youtube.com/embed/uWWTzYwCxCA#isVideo,https://andywittry.files.wordpress.com/2012/08/img3558215.jpg
Cleveland Indians,"First season: 1894; Average Attendance: 25,286; Playoff Appearances: 13; World Series Titles: 2",41.495971,-81.685308,https://www.youtube.com/embed/GtpZEy7pSbE#isVideo,https://cbsnews2.cbsistatic.com/hub/i/r/2017/09/13/9163daca-f592-4af6-aacf-cae99ea156fe/crop/3230x1815+0+117/resize/620xg7/2f5f39a312b45d87686137b1c37cf670/cleveland-indians-2017-09-13t193337z.jpg
Colorado Rockies,"First season: 1993; Average Attendance: 36,465; Playoff Appearances: 4; World Series Titles: 0",39.756242,-104.994234,https://www.youtube.com/embed/FmZ0W3U7iAQ#isVideo,https://303magazine.com/wp-content/uploads/2016/04/colorado-lg.jpg
Detroit Tigers,"First season: 1894; Average Attendance: 28,662; Playoff Appearances: 16; World Series Titles: 4",42.339249,-83.048899,https://www.youtube.com/embed/Oud6VmJhmWw#isVideo,https://cbsdetroit.files.wordpress.com/2016/09/gettyimages-601352982.jpg?w=640&h=360&crop=1
Houston Astros,"First season: 1962; Average Attendance: 29,675; Playoff Appearances: 11; World Series Titles: 1",29.757212,-95.355299,https://www.youtube.com/embed/UrHvrvH9M9A#isVideo,https://fansided.com/wp-content/uploads/getty-images/2017/11/867987752-world-series-los-angeles-dodgers-v-houston-astros-game-five.jpg.jpg
